category,headline,release_date,story_url,content
,"PHOTONEWS: Nigeria's Army Chief, Buratai, Hails Troops For Killing 105 Boko Haram Terrorists At Buni Gari","3 Weeks Ago
",/photos/photonews-nigerias-army-chief-buratai-hails-troops-killing-105-boko-haram-terrorists-buni,
Politics,"Stop Demonising Political Opponents, Dissenters, NANS Tells Nigerian Government","4 Months Ago
",/2020/01/02/stop-demonising-political-opponents-dissenters-nans-tells-nigerian-government,"
 
 The National Association of Nigerian Students, Zone D (South West), has called on the President Muhammadu Buhari administration to stop demonising political opponents and persons with dissenting voices in the country. The group, which described 2019 as the worst year for Nigeria’s democracy, said that in 2020 and the years ahead, the All Progressives Congress-led government must show more commitment to upholding the rule of law by respecting the views of all citizens. In a statement jointly signed by Coordinator, NANS Zone D, Kowe Odunayo Amos, Secretary-General, Giwa Yisa Temitope, Public Relations Officer, Kazeem Olalekan Israel, the students’ body said that it would put up a new level of resistance against rising fascism and anti-poor policies by the government henceforth. The statement reads, “It is high-time we spoke some truths to ourselves and critically look at where we are as a nation. “After considering the leadership qualities of President Muhammadu Buhari, it is disheartening to note that the score sheet does not differ from that of his predecessors. “Ever since the mantle of leadership fell on Buhari, he has proven to be the new squanderer and dasher of the hope of the people of Nigeria; rigging of elections has been at its peak, political persecution, media trial of perceived opponents, the demonisation of dissenters, the destruction of the economy and the humiliation of the people of Nigeria especially those in the Northern part of the country by Boko Haram. “It is disgusting and embarrassing that the government of Nigeria that swore to defend and protect the lives and properties of the citizens has subjected the people especially those in the Northern part of the country to violence, butchery and subversion in the hands of Boko Haram. “It would however, not be out of place to call 2019 the worst year in the history of Nigeria's democracy. “Indeed, the journey to nationhood and democracy has been so tortuous especially during this change era. We have witnessed unprecedented mass murder and barbarity by well-armed Fulani vampires in the Northern part of the country without government taking action to bring these vampires to book. We have witnessed gross disobedience of court orders with the executive arm turning itself to arbiter of justice. “In truth, the change has being from darkness to loom and bad to worst. “We urge this government to fight terrorism, combat corruption to the minimum level, secure lives and properties of the people, fulfil campaign promises, provide jobs for the youth, secure the economy and deal with indecency in high-places while adhering strictly to the rule of law. “The Nigerian people must also stop lionising the saboteurs of our national wealth that are living large at our own detriment. “We must also be ready to take our leaders by their promises while demanding accountability.” "
,"PHOTONEWS: Suspected Killers Of Mrs Funke Olakunrin, Daughter Of Pa Reuben Fasoranti Of Afenifere, Remanded In Prison Custody","3 Weeks Ago
",/photos/photonews-suspected-killers-mrs-funke-olakunrin-daughter-pa-reuben-fasoranti-afenifere,
Corruption,Discontent In NDDC Over Illegal Promotion Exercise For Select Staff,"2 Days Ago
",/2020/05/15/discontent-nddc-over-illegal-promotion-exercise-select-staff,"There is currently discontent in the Niger Delta Development Commission following an illegal promotion of staff without regard for public service rules. A source at the NDDC, who spoke with SaharaReporters, said no promotion examination or appraisal was done before the promotion was conducted. “The last promotion conducted by the commission was for staff due for promotion in 2016, 2017 and 2018 respectively. Immediately this was concluded, promotion letters for successful staff in the first cadre were issued to them immediately. “Promotion letters for successful staff in the second cadre were also released in the last week of April 2020, specifically from 27th to 30th. 
 
 “However to our surprise, on Tuesday 5th of May, 2020, another set of promotion letters without any form of exams or given criteria were issued to some special staff of the NDDC. “Some had a single promotion, and some had a double promotion. The effective dates of promotion were 1st of May 2020,” the source said. A document seen by SaharaReporters revealed that the promotion exercise was illegal as it ran contrary to the code and statutes establishing the commission and flagrant abuse of Rule 020701 of the Public Service Rules, which requires that senior officers must spend a minimum of three years on a post before being considered eligible for the promotion. According to NDDC rules, staff from grade level 8 to 14 must spend a minimum of three years on a post before being considered for promotion while those from level 15 to 17 can only be considered after spending four years on a post. Some of those who benefited from the illegal promotion include Peter Ebe (Finance), Silas Anyanwu (Human Resources), Charles Akpan (Administration), Chucks Osuji (CID), Godwin Ogedegbe (EDP’s office), Mr Gbenga (EDP’s office) and Alphonsus Fiderikumo (Finance). Others are Eno Obi (Audit), Henry Effiong (Finance), Arit Worika (Human Resources) and Okowa Pinnaebi (Human Resources). Recall that the NDDC had been rocked by an N5bn COVID-19 Personal Protective Equipment fraud, leading to national outrage and federal lawmakers summoning the Minister of Niger Delta Affairs, Godswill Akpabio, to explain what was going on in the agency. Calls for a probe of the agency have not ceased with many observers describing the NDDC as a cesspit of corruption."
,PHOTONEWS: The Bayelsa Governorship Inauguration That Never Became Reality,"3 Months Ago
",/photos/photonews-bayelsa-governorship-inauguration-never-became-reality,
,"PHOTONEWS: Thirteen Hospitalized, Houses Destroyed As Explosion Hits Akure","1 Month Ago
",/photos/photonews-thirteen-hospitalized-houses-destroyed-explosion-hits-akure,
,"PHOTONEWS: Ondo Women Group Say ""Operation Amotekun"" A Solace To Vulnerable Women And Children","3 Months Ago
",/photos/photonews-ondo-women-group-say-operation-amotekun-solace-vulnerable-women-and-children,
,PHOTONEWS: Institute Staff Picket Organisation In Lagos Over Acting DG’s Certificate Forgery,"3 Months Ago
",/photos/photonews-institute-staff-picket-organisation-lagos-over-acting-dg%E2%80%99s-certificate-forgery,
,"PHOTONEWS: Exposed: Despite Being Among Top Football Leagues In Africa, Nigerian Premier Division Venues Lack Hand Sanitisers, Others To Protect Players, Fans From Coronavirus","2 Months Ago
",/photos/photonews-exposed-despite-being-among-top-football-leagues-africa-nigerian-premier-division,
,PHOTONEWS: Sights From 2020 Lagos City Marathon,"3 Months Ago
",/photos/photonews-sights-2020-lagos-city-marathon,
